model,family,tier,title,year,item,set,lambda,lambda_z,rank,matches
Mistral Small 3.2,Mistral,Small,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train (2020),C,0.0075,0.05661171181853734,91,180
Mistral Small 3.2,Mistral,Small,Apollo 13,1995,Apollo 13 (1995),C,0.0074,0.05585709022671466,92,141
Mistral Small 3.2,Mistral,Small,The Exorcist,1973,The Exorcist (1973),A,0.0054,0.04076465839026108,93,210
Mistral Small 3.2,Mistral,Small,The Green Ray,1986,The Green Ray (1986),B,0.0039,0.029445334512920897,94,150
Mistral Small 3.2,Mistral,Small,Woman in the Dunes,1964,Woman in the Dunes (1964),B,0.0027,0.020389875411048752,95,152
Mistral Small 3.2,Mistral,Small,Days of Being Wild,1990,Days of Being Wild (1990),B,0.0011,0.008315929941885887,96,179
Mistral Small 3.2,Mistral,Small,Rain Man,1988,Rain Man (1988),C,-0.0006,-0.0045126371190996545,97,154
Mistral Small 3.2,Mistral,Small,Nostalghia,1983,Nostalghia (1983),B,-0.0044,-0.03318825760836146,98,143
Mistral Small 3.2,Mistral,Small,Vivre sa vie,1962,Vivre sa vie (1962),B,-0.0046,-0.034697500792006813,99,143
Mistral Small 3.2,Mistral,Small,A Clockwork Orange,1971,A Clockwork Orange (1971),B,-0.0054,-0.04073447352658825,100,133
Mistral Small 3.2,Mistral,Small,The Gleaners & I,2000,The Gleaners & I (2000),B,-0.0055,-0.041489095118410924,101,137
Mistral Small 3.2,Mistral,Small,Caché,2005,Caché (2005),B,-0.0061,-0.046016824669347006,102,144
Mistral Small 3.2,Mistral,Small,Gravity,2013,Gravity (2013),C,-0.008,-0.060354634913977905,103,139
Mistral Small 3.2,Mistral,Small,Gone with the Wind,1939,Gone with the Wind (1939),A,-0.0084,-0.06337312128126861,104,133
Mistral Small 3.2,Mistral,Small,Speed,1994,Speed (1994),C,-0.0116,-0.08752101221959434,105,155
Mistral Small 3.2,Mistral,Small,La Région centrale,1971,La Région centrale (1971),B,-0.0154,-0.11619663270885615,106,155
Mistral Small 3.2,Mistral,Small,Koyaanisqatsi,1982,Koyaanisqatsi (1982),B,-0.0183,-0.13808065887171384,107,138
Mistral Small 3.2,Mistral,Small,The Simpsons Movie,2007,The Simpsons Movie (2007),C,-0.0199,-0.1501546043408767,108,145
Mistral Small 3.2,Mistral,Small,Titanic,1997,Titanic (1997),A,-0.0214,-0.16147392821821688,109,137
Mistral Small 3.2,Mistral,Small,Los Olvidados,1950,Los Olvidados (1950),B,-0.0233,-0.17581173846284778,110,144
Mistral Small 3.2,Mistral,Small,Incredibles 2,2018,Incredibles 2 (2018),C,-0.0255,-0.19241341348294672,111,136
Mistral Small 3.2,Mistral,Small,Underground,1995,Underground (1995),B,-0.0267,-0.20146887258481888,112,138
Mistral Small 3.2,Mistral,Small,Batman,1989,Batman (1989),C,-0.0276,-0.20826046691122296,113,148
Mistral Small 3.2,Mistral,Small,Joker,2019,Joker (2019),C,-0.0294,-0.22184365556403118,114,139
Mistral Small 3.2,Mistral,Small,The Crowd,1928,The Crowd (1928),B,-0.0325,-0.24523692491053425,115,141
Mistral Small 3.2,Mistral,Small,Breathless,1960,Breathless (1960),B,-0.0327,-0.2467461680941796,116,154
Mistral Small 3.2,Mistral,Small,Planet of the Apes,2001,Planet of the Apes (2001),C,-0.0366,-0.27617641017526406,117,130
Mistral Small 3.2,Mistral,Small,The Puppetmaster,1993,The Puppetmaster (1993),B,-0.0407,-0.3071158954399939,118,141
Mistral Small 3.2,Mistral,Small,The Hour of the Furnaces,1968,The Hour of the Furnaces (1968),B,-0.0407,-0.3071158954399939,119,131
Mistral Small 3.2,Mistral,Small,Once Upon a Time... in Hollywood,2019,Once Upon a Time... in Hollywood (2019),A,-0.0442,-0.3335276511537877,120,156
Mistral Small 3.2,Mistral,Small,The Spirit of the Beehive,1973,The Spirit of the Beehive (1973),B,-0.0455,-0.3433377318474825,121,152
Mistral Small 3.2,Mistral,Small,American Beauty,1999,American Beauty (1999),A,-0.0471,-0.3554116773166454,122,171
Mistral Small 3.2,Mistral,Small,"Black God, White Devil",1964,"Black God, White Devil (1964)",B,-0.0489,-0.3689948659694536,123,142
Mistral Small 3.2,Mistral,Small,Terra em Transe,1967,Terra em Transe (1967),B,-0.0501,-0.37805032507132574,124,142
Mistral Small 3.2,Mistral,Small,Top Gun,1986,Top Gun (1986),C,-0.0515,-0.3886150273568432,125,150
Mistral Small 3.2,Mistral,Small,The Mummy,1999,The Mummy (1999),C,-0.057,-0.4301192149070906,126,142
Mistral Small 3.2,Mistral,Small,The Bodyguard,1992,The Bodyguard (1992),C,-0.0577,-0.43540156604984936,127,151
Mistral Small 3.2,Mistral,Small,Independence Day,1996,Independence Day (1996),C,-0.0594,-0.4482301331108349,128,154
Mistral Small 3.2,Mistral,Small,Senso,1954,Senso (1954),B,-0.0637,-0.4806788615592101,129,137
Mistral Small 3.2,Mistral,Small,The Conformist,1970,The Conformist (1970),B,-0.0648,-0.4889796990692595,130,138
Mistral Small 3.2,Mistral,Small,Zama,2017,Zama (2017),B,-0.0655,-0.4942620502120183,131,144
Mistral Small 3.2,Mistral,Small,A.I. Artificial Intelligence,2001,A.I. Artificial Intelligence (2001),A,-0.0672,-0.5070906172730038,132,148
Mistral Small 3.2,Mistral,Small,Day for Night,1973,Day for Night (1973),B,-0.0674,-0.5085998604566492,133,148
Mistral Small 3.2,Mistral,Small,Full River Red,2023,Full River Red (2023),C,-0.0701,-0.5289746434358614,134,152
Mistral Small 3.2,Mistral,Small,Out 1,1971,Out 1 (1971),B,-0.0708,-0.5342569945786203,135,144
Mistral Small 3.2,Mistral,Small,The Revenant,2015,The Revenant (2015),C,-0.0719,-0.5425578320886697,136,155
Mistral Small 3.2,Mistral,Small,My Big Fat Greek Wedding,2002,My Big Fat Greek Wedding (2002),C,-0.0767,-0.5787796684961584,137,182
Mistral Small 3.2,Mistral,Small,A Bug's Life,1998,A Bug's Life (1998),C,-0.078,-0.5885897491898531,138,146
Mistral Small 3.2,Mistral,Small,The Croods,2013,The Croods (2013),C,-0.082,-0.6187746128627604,139,161
Mistral Small 3.2,Mistral,Small,Limite,1931,Limite (1931),B,-0.0826,-0.6233023424136964,140,153
Mistral Small 3.2,Mistral,Small,JFK,1991,JFK (1991),A,-0.088,-0.664051908372121,141,162
Mistral Small 3.2,Mistral,Small,Death in Venice,1971,Death in Venice (1971),B,-0.0975,-0.7357409595952755,142,165
Mistral Small 3.2,Mistral,Small,Ocean's Twelve,2004,Ocean's Twelve (2004),C,-0.0988,-0.7455510402889703,143,154
Mistral Small 3.2,Mistral,Small,Tarzan,1999,Tarzan (1999),C,-0.1017,-0.767435066451828,144,147
Mistral Small 3.2,Mistral,Small,The Thin Red Line,1998,The Thin Red Line (1998),B,-0.1026,-0.7742266607782321,145,184
Mistral Small 3.2,Mistral,Small,The Wandering Earth,2019,The Wandering Earth (2019),C,-0.1029,-0.7764905255537002,146,158
Mistral Small 3.2,Mistral,Small,Twister,1996,Twister (1996),C,-0.1052,-0.7938468221656219,147,165
Mistral Small 3.2,Mistral,Small,The Ascent,1977,The Ascent (1977),B,-0.107,-0.80743001081843,148,168
Mistral Small 3.2,Mistral,Small,Intolerance,1916,Intolerance (1916),B,-0.1126,-0.8496888199605,149,170
Mistral Small 3.2,Mistral,Small,Meet the Fockers,2004,Meet the Fockers (2004),C,-0.1171,-0.8836467915925206,150,163
Mistral Small 3.2,Mistral,Small,Brave,2012,Brave (2012),C,-0.1185,-0.8942114938780381,151,170
Mistral Small 3.2,Mistral,Small,Die Another Day,2002,Die Another Day (2002),C,-0.1268,-0.9568450859993204,152,171
Mistral Small 3.2,Mistral,Small,The Meg,2018,The Meg (2018),C,-0.1303,-0.9832568417131142,153,150
Mistral Small 3.2,Mistral,Small,The Social Network,2010,The Social Network (2010),A,-0.1321,-0.9968400303659224,154,165
Mistral Small 3.2,Mistral,Small,In a Year with 13 Moons,1978,In a Year with 13 Moons (1978),B,-0.1327,-1.0013677599168587,155,170
Mistral Small 3.2,Mistral,Small,Europa '51,1952,Europa '51 (1952),B,-0.1356,-1.0232517860797161,156,185
Mistral Small 3.2,Mistral,Small,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),C,-0.1358,-1.0247610292633615,157,145
Mistral Small 3.2,Mistral,Small,The Wind,1928,The Wind (1928),B,-0.1406,-1.0609828656708502,158,174
Mistral Small 3.2,Mistral,Small,Pickpocket,1959,Pickpocket (1959),B,-0.1423,-1.0738114327318358,159,186
Mistral Small 3.2,Mistral,Small,The Time to Live and the Time to Die,1985,The Time to Live and the Time to Die (1985),B,-0.1458,-1.1002231884456295,160,151
Mistral Small 3.2,Mistral,Small,Twenty Years Later,1984,Twenty Years Later (1984),B,-0.1458,-1.1002231884456295,161,154
Mistral Small 3.2,Mistral,Small,"Ivan the Terrible, Part II",1946,"Ivan the Terrible, Part II (1946)",B,-0.1466,-1.106260161180211,162,179
Mistral Small 3.2,Mistral,Small,The Matrix Reloaded,2003,The Matrix Reloaded (2003),C,-0.1476,-1.1138063770984377,163,160
Mistral Small 3.2,Mistral,Small,Sing,2016,Sing (2016),C,-0.1479,-1.1160702418739057,164,162
Mistral Small 3.2,Mistral,Small,Penguins of Madagascar,2014,Penguins of Madagascar (2014),C,-0.1481,-1.1175794850575511,165,154
Mistral Small 3.2,Mistral,Small,The Secret Life of Pets,2016,The Secret Life of Pets (2016),C,-0.1483,-1.1190887282411963,166,165
Mistral Small 3.2,Mistral,Small,National Treasure,2004,National Treasure (2004),C,-0.1483,-1.1190887282411963,167,175
Mistral Small 3.2,Mistral,Small,Uncharted,2022,Uncharted (2022),C,-0.1487,-1.1221072146084872,168,156
Mistral Small 3.2,Mistral,Small,Avatar,2009,Avatar (2009),A,-0.1493,-1.1266349441594232,169,184
Mistral Small 3.2,Mistral,Small,Bambi,1942,Bambi (1942),A,-0.1504,-1.1349357816694727,170,185
Mistral Small 3.2,Mistral,Small,Mary Poppins Returns,2018,Mary Poppins Returns (2018),C,-0.1504,-1.1349357816694727,171,168
Mistral Small 3.2,Mistral,Small,Superman Returns,2006,Superman Returns (2006),C,-0.1505,-1.1356904032612953,172,152
Mistral Small 3.2,Mistral,Small,The Grinch,2018,The Grinch (2018),C,-0.1508,-1.1379542680367634,173,149
Mistral Small 3.2,Mistral,Small,The Eight Hundred,2020,The Eight Hundred (2020),C,-0.1509,-1.1387088896285862,174,159
Mistral Small 3.2,Mistral,Small,Alien: Romulus,2024,Alien: Romulus (2024),C,-0.151,-1.1394635112204088,175,161
Mistral Small 3.2,Mistral,Small,Armageddon,1998,Armageddon (1998),C,-0.1519,-1.1462551055468129,176,179
Mistral Small 3.2,Mistral,Small,Thunderbolts*,2025,Thunderbolts* (2025),C,-0.1529,-1.1538013214650398,177,145
Mistral Small 3.2,Mistral,Small,"Hi, Mom",2021,"Hi, Mom (2021)",C,-0.1531,-1.1553105646486852,178,174
Mistral Small 3.2,Mistral,Small,Beetlejuice Beetlejuice,2024,Beetlejuice Beetlejuice (2024),C,-0.1531,-1.1553105646486852,179,165
Mistral Small 3.2,Mistral,Small,"My People, My Homeland",2020,"My People, My Homeland (2020)",C,-0.1543,-1.164366023750557,180,168
Mistral Small 3.2,Mistral,Small,Lucy,2014,Lucy (2014),C,-0.1548,-1.1681391317096705,181,158
Mistral Small 3.2,Mistral,Small,The Passion of the Christ,2004,The Passion of the Christ (2004),C,-0.1556,-1.174176104444252,182,162
Mistral Small 3.2,Mistral,Small,Stromboli,1950,Stromboli (1950),B,-0.1561,-1.1779492124033653,183,167
Mistral Small 3.2,Mistral,Small,Monster Hunt,2015,Monster Hunt (2015),C,-0.1561,-1.1779492124033653,184,160
Mistral Small 3.2,Mistral,Small,xXx: Return of Xander Cage,2017,xXx: Return of Xander Cage (2017),C,-0.1563,-1.1794584555870107,185,161
Mistral Small 3.2,Mistral,Small,The Wolverine,2013,The Wolverine (2013),C,-0.1564,-1.1802130771788335,186,153
Mistral Small 3.2,Mistral,Small,Snow White and the Huntsman,2012,Snow White and the Huntsman (2012),C,-0.157,-1.1847408067297696,187,158
Mistral Small 3.2,Mistral,Small,The Hangover Part II,2011,The Hangover Part II (2011),C,-0.1572,-1.186250049913415,188,162
Mistral Small 3.2,Mistral,Small,2012,2009,2012 (2009),C,-0.1628,-1.228508859055485,189,159
Mistral Small 3.2,Mistral,Small,Noah,2014,Noah (2014),C,-0.1645,-1.2413374261164705,190,140
Mistral Small 3.2,Mistral,Small,The Golden Compass,2007,The Golden Compass (2007),C,-0.168,-1.2677491818302642,191,146
Mistral Small 3.2,Mistral,Small,X-Men Origins: Wolverine,2009,X-Men Origins: Wolverine (2009),C,-0.1746,-1.317554206890561,192,139
Mistral Small 3.2,Mistral,Small,Ant-Man and the Wasp: Quantumania,2023,Ant-Man and the Wasp: Quantumania (2023),C,-0.1781,-1.3439659626043547,193,147
Mistral Small 3.2,Mistral,Small,Peter Rabbit,2018,Peter Rabbit (2018),C,-0.1795,-1.3545306648898723,194,145
Mistral Small 3.2,Mistral,Small,The Angry Birds Movie,2016,The Angry Birds Movie (2016),C,-0.2005,-1.5130011991726349,195,141
Mistral Small 3.2,Mistral,Small,Hello Mr. Billionaire,2018,Hello Mr. Billionaire (2018),C,-0.2039,-1.538658333294606,196,132
Mistral Small 3.2,Mistral,Small,The Amazing Spider-Man 2,2014,The Amazing Spider-Man 2 (2014),C,-0.2192,-1.6541154368434758,197,141
Mistral Small 3.2,Mistral,Small,Cars 2,2011,Cars 2 (2011),C,-0.2226,-1.679772570965447,198,137
Mistral Small 3.2,Mistral,Small,Pegasus 2,2024,Pegasus 2 (2024),C,-0.2273,-1.7152397857811128,199,139
Mistral Small 3.2,Mistral,Small,The Fantastic Four: First Steps,2025,The Fantastic Four: First Steps (2025),C,-0.2354,-1.7763641347187498,200,133
Qwen2.5-Plus,Alibaba,Large,Portrait of a Lady on Fire,2019,Portrait of a Lady on Fire (2019),B,0.2427,1.9214637407479846,1,184
Qwen2.5-Plus,Alibaba,Large,Where is the Friend's House?,1987,Where is the Friend's House? (1987),B,0.2412,1.909588021027585,2,182
Qwen2.5-Plus,Alibaba,Large,Persona,1966,Persona (1966),B,0.239,1.8921702987709987,3,257
Qwen2.5-Plus,Alibaba,Large,Spirited Away,2001,Spirited Away (2001),A,0.2386,1.8890034401788924,4,140
Qwen2.5-Plus,Alibaba,Large,Pather Panchali,1955,Pather Panchali (1955),B,0.2374,1.8795028644025726,5,186
Qwen2.5-Plus,Alibaba,Large,High and Low,1963,High and Low (1963),B,0.2355,1.8644602860900663,6,175
Qwen2.5-Plus,Alibaba,Large,Parasite,2019,Parasite (2019),A,0.2347,1.858126568905853,7,269
Qwen2.5-Plus,Alibaba,Large,Beau Travail,1999,Beau Travail (1999),B,0.232,1.8367502734091339,8,200
Qwen2.5-Plus,Alibaba,Large,The Colour of Pomegranates,1969,The Colour of Pomegranates (1969),B,0.232,1.8367502734091339,9,238
Qwen2.5-Plus,Alibaba,Large,Sansho the Bailiff,1954,Sansho the Bailiff (1954),B,0.2294,1.816165692560441,10,170
Qwen2.5-Plus,Alibaba,Large,A Brighter Summer Day,1991,A Brighter Summer Day (1991),B,0.2241,1.7742048162150288,11,289
Qwen2.5-Plus,Alibaba,Large,All About My Mother,1999,All About My Mother (1999),B,0.2217,1.7552036646623894,12,287
Qwen2.5-Plus,Alibaba,Large,Ran,1985,Ran (1985),B,0.2212,1.7512450914222562,13,292
Qwen2.5-Plus,Alibaba,Large,Schindler's List,1993,Schindler's List (1993),A,0.2205,1.7457030888860696,14,345
Qwen2.5-Plus,Alibaba,Large,Woman in the Dunes,1964,Woman in the Dunes (1964),B,0.2201,1.742536230293963,15,312
Qwen2.5-Plus,Alibaba,Large,Crimes and Misdemeanors,1989,Crimes and Misdemeanors (1989),B,0.2184,1.7290770812775103,16,283
Qwen2.5-Plus,Alibaba,Large,Kes,1969,Kes (1969),B,0.2104,1.6657399094353786,17,387
Qwen2.5-Plus,Alibaba,Large,Solaris,1972,Solaris (1972),B,0.208,1.646738757882739,18,256
Qwen2.5-Plus,Alibaba,Large,The Godfather,1972,The Godfather (1972),A,0.2016,1.596069020409034,19,268
Qwen2.5-Plus,Alibaba,Large,Cléo from 5 to 7,1962,Cléo from 5 to 7 (1962),B,0.2002,1.584985015336661,20,331
Qwen2.5-Plus,Alibaba,Large,Raiders of the Lost Ark,1981,Raiders of the Lost Ark (1981),A,0.1981,1.5683590077281013,21,301
Qwen2.5-Plus,Alibaba,Large,Ratatouille,2007,Ratatouille (2007),C,0.196,1.551733000119542,22,262
Qwen2.5-Plus,Alibaba,Large,The Empire Strikes Back,1980,The Empire Strikes Back (1980),A,0.1927,1.5256064167346626,23,375
Qwen2.5-Plus,Alibaba,Large,WALL-E,2008,WALL-E (2008),A,0.1922,1.5216478434945295,24,295
Qwen2.5-Plus,Alibaba,Large,Yojimbo,1961,Yojimbo (1961),B,0.1872,1.4820621110931973,25,373
Qwen2.5-Plus,Alibaba,Large,Raise the Red Lantern,1991,Raise the Red Lantern (1991),B,0.1867,1.478103537853064,26,302
Qwen2.5-Plus,Alibaba,Large,Cinema Paradiso,1988,Cinema Paradiso (1988),B,0.1846,1.4614775302445042,27,288
Qwen2.5-Plus,Alibaba,Large,Coco,2017,Coco (2017),C,0.1819,1.440101234747785,28,325
Qwen2.5-Plus,Alibaba,Large,The Silence of the Lambs,1991,The Silence of the Lambs (1991),A,0.1743,1.3799309214977602,29,339
Qwen2.5-Plus,Alibaba,Large,Shadows of Forgotten Ancestors,1965,Shadows of Forgotten Ancestors (1965),B,0.1713,1.3561794820569608,30,343
Qwen2.5-Plus,Alibaba,Large,Scenes from a Marriage,1973,Scenes from a Marriage (1973),B,0.1642,1.299967742047069,31,246
Qwen2.5-Plus,Alibaba,Large,Withnail & I,1987,Withnail & I (1987),B,0.1555,1.2310885676687509,32,328
Qwen2.5-Plus,Alibaba,Large,Sans Soleil,1983,Sans Soleil (1983),B,0.1547,1.2247548504845378,33,318
Qwen2.5-Plus,Alibaba,Large,Amadeus,1984,Amadeus (1984),B,0.1481,1.1725016837147793,34,234
Qwen2.5-Plus,Alibaba,Large,Back to the Future,1985,Back to the Future (1985),A,0.1446,1.1447916710338468,35,254
Qwen2.5-Plus,Alibaba,Large,Pulp Fiction,1994,Pulp Fiction (1994),A,0.1342,1.0624533476390758,36,273
Qwen2.5-Plus,Alibaba,Large,Inside Out,2015,Inside Out (2015),C,0.1337,1.0584947743989426,37,332
Qwen2.5-Plus,Alibaba,Large,Taste of Cherry,1997,Taste of Cherry (1997),B,0.1326,1.0497859132706493,38,317
Qwen2.5-Plus,Alibaba,Large,Days of Being Wild,1990,Days of Being Wild (1990),B,0.126,0.9975327465008909,39,327
Qwen2.5-Plus,Alibaba,Large,Pyaasa,1957,Pyaasa (1957),B,0.1244,0.9848653121324645,40,319
Qwen2.5-Plus,Alibaba,Large,"Aguirre, the Wrath of God",1972,"Aguirre, the Wrath of God (1972)",B,0.1209,0.957155299451532,41,197
Qwen2.5-Plus,Alibaba,Large,The Passion of Joan of Arc,1928,The Passion of Joan of Arc (1928),B,0.1168,0.9246949988824397,42,298
Qwen2.5-Plus,Alibaba,Large,Vivre sa vie,1962,Vivre sa vie (1962),B,0.1128,0.8930264129613739,43,297
Qwen2.5-Plus,Alibaba,Large,"Monsters, Inc.",2001,"Monsters, Inc. (2001)",C,0.1102,0.8724418321126811,44,337
Qwen2.5-Plus,Alibaba,Large,The Death of Mr. Lazarescu,2005,The Death of Mr. Lazarescu (2005),B,0.1087,0.8605661123922814,45,304
Qwen2.5-Plus,Alibaba,Large,Close Encounters of the Third Kind,1977,Close Encounters of the Third Kind (1977),A,0.1015,0.8035626577343631,46,315
Qwen2.5-Plus,Alibaba,Large,The Spirit of the Beehive,1973,The Spirit of the Beehive (1973),B,0.0973,0.770310642517244,47,335
Qwen2.5-Plus,Alibaba,Large,Nostalghia,1983,Nostalghia (1983),B,0.0871,0.6895557484185263,48,364
Qwen2.5-Plus,Alibaba,Large,Get Out,2017,Get Out (2017),A,0.085,0.6729297408099668,49,265
Qwen2.5-Plus,Alibaba,Large,Pickpocket,1959,Pickpocket (1959),B,0.0814,0.6444280134810075,50,240
Qwen2.5-Plus,Alibaba,Large,E.T. The Extra-Terrestrial,1982,E.T. The Extra-Terrestrial (1982),A,0.0775,0.6135511422079685,51,285
Qwen2.5-Plus,Alibaba,Large,Once Upon a Time in the West,1968,Once Upon a Time in the West (1968),B,0.0751,0.594549990655329,52,255
Qwen2.5-Plus,Alibaba,Large,Your Name.,2016,Your Name. (2016),C,0.0684,0.5415051092375438,53,356
Qwen2.5-Plus,Alibaba,Large,Happy Together,1997,Happy Together (1997),B,0.067,0.5304211041651709,54,280
Qwen2.5-Plus,Alibaba,Large,Beauty and the Beast,1991,Beauty and the Beast (1991),C,0.0658,0.5209205283888511,55,364
Qwen2.5-Plus,Alibaba,Large,The Gleaners & I,2000,The Gleaners & I (2000),B,0.0543,0.42987334386578696,56,246
Qwen2.5-Plus,Alibaba,Large,The Lord of the Rings: The Return of the King,2003,The Lord of the Rings: The Return of the King (2003),A,0.0537,0.42512305597762706,57,266
Qwen2.5-Plus,Alibaba,Large,Caché,2005,Caché (2005),B,0.0526,0.416414194849334,58,201
Qwen2.5-Plus,Alibaba,Large,The Dark Knight,2008,The Dark Knight (2008),A,0.0513,0.40612190442498763,59,275
Qwen2.5-Plus,Alibaba,Large,The Seventh Seal,1957,The Seventh Seal (1957),B,0.0502,0.3974130432966946,60,254
Qwen2.5-Plus,Alibaba,Large,Oldboy,2003,Oldboy (2003),B,0.0488,0.3863290382243216,61,215
Qwen2.5-Plus,Alibaba,Large,The Lord of the Rings: The Fellowship of the Ring,2001,The Lord of the Rings: The Fellowship of the Ring (2001),A,0.0478,0.3784118917440551,62,219
Qwen2.5-Plus,Alibaba,Large,Se7en,1995,Se7en (1995),A,0.047,0.37207817455984193,63,205
Qwen2.5-Plus,Alibaba,Large,Toy Story,1995,Toy Story (1995),A,0.0459,0.3633693134315489,64,218
Qwen2.5-Plus,Alibaba,Large,The Ascent,1977,The Ascent (1977),B,0.0457,0.36178588413549556,65,219
Qwen2.5-Plus,Alibaba,Large,Shoah,1985,Shoah (1985),B,0.04,0.31665814919797686,66,208
Qwen2.5-Plus,Alibaba,Large,Reservoir Dogs,1992,Reservoir Dogs (1992),B,0.0363,0.287364707220991,67,179
Qwen2.5-Plus,Alibaba,Large,Mad Max: Fury Road,2015,Mad Max: Fury Road (2015),A,0.0341,0.26994698496440483,68,221
Qwen2.5-Plus,Alibaba,Large,Saving Private Ryan,1998,Saving Private Ryan (1998),A,0.034,0.2691552703163782,69,292
Qwen2.5-Plus,Alibaba,Large,Dead Poets Society,1989,Dead Poets Society (1989),A,0.0327,0.25886297989203183,70,263
Qwen2.5-Plus,Alibaba,Large,Once Upon a Time in America,1984,Once Upon a Time in America (1984),B,0.0325,0.2572795505959785,71,209
Qwen2.5-Plus,Alibaba,Large,Terminator 2: Judgment Day,1991,Terminator 2: Judgment Day (1991),A,0.0297,0.23511154045123248,72,232
Qwen2.5-Plus,Alibaba,Large,The Time to Live and the Time to Die,1985,The Time to Live and the Time to Die (1985),B,0.0295,0.23352811115517916,73,215
Qwen2.5-Plus,Alibaba,Large,The Young Girls of Rochefort,1967,The Young Girls of Rochefort (1967),B,0.027,0.21373524495451307,74,149
Qwen2.5-Plus,Alibaba,Large,"Crouching Tiger, Hidden Dragon",2000,"Crouching Tiger, Hidden Dragon (2000)",A,0.0257,0.2034429545301667,75,243
Qwen2.5-Plus,Alibaba,Large,Los Olvidados,1950,Los Olvidados (1950),B,0.0232,0.18365008832950058,76,190
Qwen2.5-Plus,Alibaba,Large,Apollo 13,1995,Apollo 13 (1995),C,0.0232,0.18365008832950058,77,216
Qwen2.5-Plus,Alibaba,Large,Jaws,1975,Jaws (1975),A,0.0223,0.1765246564972608,78,209
Qwen2.5-Plus,Alibaba,Large,The Conformist,1970,The Conformist (1970),B,0.019,0.15039807311238151,79,149
Qwen2.5-Plus,Alibaba,Large,Day for Night,1973,Day for Night (1973),B,0.0187,0.1480229291683016,80,195
Qwen2.5-Plus,Alibaba,Large,Logan,2017,Logan (2017),C,0.0177,0.14010578268803517,81,144
Qwen2.5-Plus,Alibaba,Large,Ocean's Eleven,2001,Ocean's Eleven (2001),C,0.0154,0.12189634578342236,82,163
Qwen2.5-Plus,Alibaba,Large,Home Alone,1990,Home Alone (1990),C,0.0145,0.11477091395118255,83,170
Qwen2.5-Plus,Alibaba,Large,Dances with Wolves,1990,Dances with Wolves (1990),C,0.0127,0.10052005028670295,84,183
Qwen2.5-Plus,Alibaba,Large,Rain Man,1988,Rain Man (1988),C,0.0112,0.08864433056630329,85,154
Qwen2.5-Plus,Alibaba,Large,Gravity,2013,Gravity (2013),C,0.0103,0.0815188987340635,86,156
Qwen2.5-Plus,Alibaba,Large,Star Wars,1977,Star Wars (1977),A,0.0101,0.0799354694380102,87,188
Qwen2.5-Plus,Alibaba,Large,The Sixth Sense,1999,The Sixth Sense (1999),C,0.0096,0.07597689619787698,88,143
Qwen2.5-Plus,Alibaba,Large,True Lies,1994,True Lies (1994),C,0.0083,0.06568460577353061,89,144
Qwen2.5-Plus,Alibaba,Large,The Fugitive,1993,The Fugitive (1993),C,0.0081,0.06410117647747732,90,189
Qwen2.5-Plus,Alibaba,Large,Forrest Gump,1994,Forrest Gump (1994),A,0.0076,0.06014260323734409,91,151
Qwen2.5-Plus,Alibaba,Large,"Goodbye, Dragon Inn",2003,"Goodbye, Dragon Inn (2003)",B,0.0068,0.05380888605313093,92,150
Qwen2.5-Plus,Alibaba,Large,My Big Fat Greek Wedding,2002,My Big Fat Greek Wedding (2002),C,0.0055,0.04351659562878456,93,172
Qwen2.5-Plus,Alibaba,Large,Videodrome,1983,Videodrome (1983),B,0.0002,0.0015557192833724205,94,134
Qwen2.5-Plus,Alibaba,Large,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train (2020),C,0.0002,0.0015557192833724205,95,161
Qwen2.5-Plus,Alibaba,Large,La Belle et la Bête,1946,La Belle et la Bête (1946),B,-0.0004,-0.003194568604787445,96,168
Qwen2.5-Plus,Alibaba,Large,Breathless,1960,Breathless (1960),B,-0.0005,-0.003986283252814088,97,138
Qwen2.5-Plus,Alibaba,Large,Ghostbusters,1984,Ghostbusters (1984),A,-0.0011,-0.008736571140973955,98,180
Qwen2.5-Plus,Alibaba,Large,The Matrix,1999,The Matrix (1999),A,-0.002,-0.015862002973213753,99,155
Qwen2.5-Plus,Alibaba,Large,Senso,1954,Senso (1954),B,-0.0023,-0.018237146917293685,100,147
Qwen2.5-Plus,Alibaba,Large,Blade Runner,1982,Blade Runner (1982),B,-0.0033,-0.026154293397560126,101,145
Qwen2.5-Plus,Alibaba,Large,A Bug's Life,1998,A Bug's Life (1998),C,-0.0033,-0.026154293397560126,102,150
Qwen2.5-Plus,Alibaba,Large,Koyaanisqatsi,1982,Koyaanisqatsi (1982),B,-0.0034,-0.02694600804558677,103,179
Qwen2.5-Plus,Alibaba,Large,M,1931,M (1931),B,-0.0035,-0.027737722693613416,104,151
Qwen2.5-Plus,Alibaba,Large,Die Hard with a Vengeance,1995,Die Hard with a Vengeance (1995),C,-0.0036,-0.028529437341640058,105,138
Qwen2.5-Plus,Alibaba,Large,Batman,1989,Batman (1989),C,-0.0041,-0.03248801058177329,106,154
Qwen2.5-Plus,Alibaba,Large,Brave,2012,Brave (2012),C,-0.0044,-0.03486315452585322,107,151
